Date,Close/Last,Volume,Open,High,Low
381.85,52427090,382.435,383.7,380.48,239
386.19,47142560,382.96,386.24,381.9655,240
387.71,48669770,388.2,388.47,386.1444,241
390.51,38365190,389.27,390.56,388.35,242
390.25,35551060,389.61,390.89,389.17,243
390.08,59154370,392.12,392.28,387.5,244
390.71,42913290,391.24,391.69,388.1,245
392.64,50593270,389.85,392.9,389.77,246
392.3,50972370,393.96,394.17,391.53,247
392.39,52806680,390.42,392.66,389.33,248
390.72,59712770,389.59,391.515,387.74,249
390.03,83240970,392.07,392.38,389.55,250
387.03,67414170,387.06,389.62,386.74,251
387.5,107284100,384.66,388.945,380.2,252
391.77,72433950,386.33,392.23,385.27,253
382.33,146670500,390.41,391.88,380.7789,254
380.36,152701600,384.35,385.58,378.23,255
389.58,105348800,385.59,390.92,380.572,256
386.54,79595330,389.82,390.07,386,257
381.42,119940200,385.79,386.83,381.31,258
376.7,183433000,381.22,384,371.88,259
383.63,152039600,380.46,384.76,372.64,260
381.72,123149200,384.66,387.68,381.42,261
387.17,113633600,385.85,389.91,381.7299,262
389.58,109899400,389.69,391.4,388.1702,263
393.53,86245040,392.23,395.65,391.74,264
394.06,64653570,392.07,394.21,391.2,265
396.41,73592300,394.33,396.685,392.03,266
395.91,73722510,397.07,397.83,395.08,267
397.26,97959270,394.53,398.12,393.3,268
391.48,115349100,394.475,396.72,390.75,269
389.48,113624500,389.88,391.569,387.15,270
392.59,73778650,390.03,394.07,389.97,271
389.5,90686550,391.91,393.46,388.66,272
387.52,97588640,391,392.75,387.47,273
389.7,116128600,385.98,390.55,383.9,274
395.98,114409100,390.93,396.41,390.29,275
395.78,108107600,394.4,396.75,392.81,276
394.73,76262250,394.42,395.45,393.02,277
396.33,112734200,395.34,398,395.31,278
400.61,99682880,398.4,400.67,398.18,279
406.36,91684760,403.46,406.94,403.38,280
406.12,62020950,405.76,407.24,405.4,281
406.59,55836280,405.94,406.96,405.45,282
408.52,57863110,407.93,408.58,406.93,283
411.49,61104560,408.39,411.67,408.26,284
411.64,56704900,410.85,411.93,410.2,285
412.86,56550990,411.53,413.529,411.12,286
411.45,61659910,412.83,413.96,410.87,287
415.87,60229840,413.74,416.16,413.69,288
417.26,82037280,417.25,417.91,415.73,289
415.21,78498500,416.26,416.74,413.79,290
412.17,81851830,413.91,415.0859,410.59,291
416.07,66792980,411.51,416.29,411.36,292
